"exercise_name","selectable_by_generator","current_equipment_keys","athlete_equipment_labels","source_assignment_variants","sources","source_occurrence_count","raw_requirements","review_flag"
"Foam Roll — Hip Flexor, Quad, Adductors","yes","foam_roller","Foam roller","pool_registry/tissue_quality=foam_roller","pool_registry","1","foam_roller","OK"
"Foam Roll — IT Band","yes","foam_roller","Foam roller","pool_registry/tissue_quality=foam_roller","pool_registry","1","foam_roller","OK"
"Foam Roll — Lats","yes","foam_roller","Foam roller","pool_registry/tissue_quality=foam_roller","pool_registry","1","foam_roller","OK"
"Foam Roll — T-Spine","yes","foam_roller","Foam roller","pool_registry/tissue_quality=foam_roller","pool_registry","1","foam_roller","OK"
"Footy Fartlek","yes","none","None shown","conditioning_meta/B-high/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Footy Shuttles","yes","none","None shown","conditioning_meta/B-high/run=none ; conditioning_template/aerobic_power=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. (shuttle format). | semantic-modality:run","OK"
"Free Sprint Session","yes","none","None shown","conditioning_meta/A/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Front Squat","yes","barbell","Barbell & rack","strength_pools/squat/anchor=barbell","strength_pools","1","load-authority:barbell","OK"
"Glute Bridge","yes","bodyweight","Bodyweight / no equipment","default_exercises/Compound=bodyweight ; strength_pools/hinge/accessory=bodyweight","default_exercises | strength_pools","2","load-authority:bodyweight","OK"
"Goblet Squat","yes","dumbbells","Dumbbells","default_exercises/Compound=dumbbells ; strength_pools/squat/accessory=dumbbells","default_exercises | strength_pools","2","Dumbbells | load-authority:dumbbell","OK"
"Groin Squeeze","yes","none","None shown","pool_registry/groin_adductors=none","pool_registry","1","none","NO_CURRENT_EQUIPMENT_ASSIGNMENT"
"Half-Kneeling Single-Arm Overhead Press","yes","dumbbells","Dumbbells","strength_pools/vertical_push/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Hammer Curl","yes","dumbbells","Dumbbells","pool_registry/biceps=dumbbells ; strength_pools/isolation_upper/accessory=dumbbells","pool_registry | strength_pools","2","dumbbells | load-authority:dumbbell","OK"
"Hamstring Curl","yes","machine","Weight machines","strength_pools/isolation_lower/accessory=machine","strength_pools","1","load-authority:machine","OK"
"Hanging Leg Raise","yes","pullup_bar","Pull-up bar","pool_registry/trunk_anti_rotation=pullup_bar","pool_registry","1","pullup_bar","OK"
"Hard Assault Bike Intervals","yes","modality:bike_erg","Bike or bike erg","conditioning_meta/B-high/bike=modality:bike_erg","conditioning_meta","1","semantic-modality:bike","OK"
"Hard Row Intervals","yes","modality:row","Row erg","conditioning_meta/B-high/row=modality:row","conditioning_meta","1","semantic-modality:row","OK"
"Hard SkiErg Intervals","yes","modality:ski","Ski erg","conditioning_meta/B-high/ski=modality:ski","conditioning_meta","1","semantic-modality:ski","OK"
"High Box Squat","yes","barbell","Barbell & rack","strength_pools/squat/anchor=barbell","strength_pools","1","load-authority:barbell","OK"
"Hill Acceleration","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/acceleration=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. Hill terrain required. | semantic-modality:run","OK"
"Hill Repeats — hard sustained","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/anaerobic=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. Hill terrain required. Distinct from Acceleration's Hill Acceleration (8×6 s alactic). | semantic-modality:run","OK"
"Hill Sprints","yes","none","None shown","conditioning_meta/A/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Hip 90/90 Stretch","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Hip Thrusts","yes","barbell | bench","Barbell & rack | Bench","default_exercises/Compound=barbell+bench ; strength_pools/hinge/accessory=barbell","default_exercises | strength_pools","2","Barbell | Bench | load-authority:barbell","MULTIPLE_SOURCE_ASSIGNMENTS"
"Hollow Hold","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Incline Bench","yes","barbell","Barbell & rack","strength_pools/horizontal_push/anchor=barbell","strength_pools","1","load-authority:barbell","OK"
"Incline DB Bench","yes","bench | dumbbells","Bench | Dumbbells","default_exercises/Compound=bench+dumbbells ; strength_pools/horizontal_push/accessory=dumbbells","default_exercises | strength_pools","2","Bench | Dumbbells | load-authority:dumbbell","MULTIPLE_SOURCE_ASSIGNMENTS"
"Incline Dumbbell Curl","yes","bench | dumbbells","Bench | Dumbbells","pool_registry/biceps=bench+dumbbells ; strength_pools/isolation_upper/accessory=dumbbells","pool_registry | strength_pools","2","bench | dumbbells | load-authority:dumbbell","MULTIPLE_SOURCE_ASSIGNMENTS"
"Incline Treadmill Walk","yes","bike_or_treadmill","Cardio equipment (coarse tag)","pool_registry/easy_cardio=bike_or_treadmill","pool_registry","1","bike_or_treadmill","OK"
"Incline Y Raise","yes","bench | dumbbells","Bench | Dumbbells","pool_registry/upper_back_pump=bench+dumbbells ; strength_pools/isolation_upper/accessory=dumbbells","pool_registry | strength_pools","2","bench | dumbbells | load-authority:dumbbell","MULTIPLE_SOURCE_ASSIGNMENTS"
"Inverse Tabata","yes","none","None shown","conditioning_meta/A/mixed=none","conditioning_meta","1","semantic-modality:mixed","OK"
"Inverted Row (Bodyweight)","yes","bodyweight | pullup_bar","Bodyweight / no equipment | Pull-up bar","default_exercises/Compound=bodyweight ; pool_registry/upper_back_pump=pullup_bar","default_exercises | pool_registry","2","load-authority:bodyweight | pullup_bar","MULTIPLE_SOURCE_ASSIGNMENTS"
"Jefferson Curl","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Jump Squats","yes","bodyweight","Bodyweight / no equipment","strength_pools/plyo/anchor=bodyweight","strength_pools","1","load-authority:bodyweight","OK"
"Kettlebell Swings","yes","kettlebell","Kettlebell","strength_pools/hinge/accessory=kettlebell","strength_pools","1","load-authority:kettlebell","OK"
"Kneeling Jump","yes","bodyweight","Bodyweight / no equipment","power_pool/lower=bodyweight","power_pool","1","empty = bodyweight (power-pool contract)","OK"
"Lacrosse Ball Glute Release","yes","bodyweight","Bodyweight / no equipment","pool_registry/tissue_quality=bodyweight","pool_registry","1","bodyweight","OK"
"Landmine Press","yes","barbell","Barbell & rack","strength_pools/vertical_push/anchor=barbell","strength_pools","1","load-authority:barbell","OK"
"Lat Pulldown","yes","cables","Cable machine","strength_pools/vertical_pull/accessory=cables","strength_pools","1","load-authority:cable","OK"
"Lat Stretch","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Lateral Bounds","yes","bodyweight","Bodyweight / no equipment","power_pool/lower=bodyweight ; strength_pools/plyo/accessory=bodyweight","power_pool | strength_pools","2","empty = bodyweight (power-pool contract) | load-authority:bodyweight","OK"
"Lateral Jump","yes","bodyweight","Bodyweight / no equipment","power_pool/lower=bodyweight","power_pool","1","empty = bodyweight (power-pool contract)","OK"
"Lateral Lunge","yes","bodyweight","Bodyweight / no equipment","pool_registry/groin_adductors=bodyweight","pool_registry","1","bodyweight","OK"
"Lateral Raise","yes","dumbbells","Dumbbells","default_exercises/Isolation=dumbbells ; pool_registry/delts=dumbbells ; strength_pools/isolation_upper/accessory=dumbbells","default_exercises | pool_registry | strength_pools","3","Dumbbells | dumbbells | load-authority:dumbbell","OK"
"Leg Extension","yes","machine","Weight machines","default_exercises/Isolation=machine ; strength_pools/isolation_lower/accessory=machine","default_exercises | strength_pools","2","Machine | load-authority:machine","OK"
"Leg Press","yes","machine","Weight machines","default_exercises/Compound=machine ; strength_pools/squat/accessory=machine","default_exercises | strength_pools","2","Machine | load-authority:machine","OK"
"Light Circuits","yes","modality:bike_erg","Bike or bike erg","conditioning_meta/C/bike=modality:bike_erg","conditioning_meta","1","semantic-modality:bike","OK"
"Light Skipping","yes","bodyweight","Bodyweight / no equipment","pool_registry/easy_cardio=bodyweight","pool_registry","1","bodyweight","OK"
"Light Walk or Stationary Bike","yes","bike_or_treadmill","Cardio equipment (coarse tag)","pool_registry/easy_cardio=bike_or_treadmill","pool_registry","1","bike_or_treadmill","OK"
"Long Aerobic Intervals","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run/Bike ONLY (10 min > the 8 min erg cap). Ski/Row/Air Bike use 'Steady Blocks' below. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Long Nasal Run","yes","none","None shown","conditioning_meta/B-low/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Long Run","yes","none","None shown","conditioning_meta/B-high/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Long-Lever Copenhagen","yes","bodyweight","Bodyweight / no equipment","pool_registry/groin_adductors=bodyweight","pool_registry","1","bodyweight","OK"
"Low-Intensity Deceleration Drills","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/cod_decel=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Lying Dumbbell Curl","yes","dumbbells","Dumbbells","strength_pools/isolation_upper/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"MAS 15:15 Blocks","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/run=none ; conditioning_template/aerobic_power=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities — time-based, well inside the cap. | semantic-modality:run","MULTIPLE_SOURCE_ASSIGNMENTS"
"MAS Training","yes","none","None shown","conditioning_meta/A/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Max Effort Sprint Accumulation","yes","modality:bike_erg","Bike or bike erg","conditioning_meta/A/bike=modality:bike_erg","conditioning_meta","1","semantic-modality:bike","OK"
"McGill Sit Up","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Nasal-Paced Easy","yes","modality:bike_erg","Bike or bike erg","conditioning_meta/C/mixed=none ; conditioning_template/flush=modality:bike_erg","conditioning_meta | conditioning_template","2","modalityNotes:Run/Bike — nasal pacing doesn't translate to erg work. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Neutral-Grip Pulldown","yes","cables","Cable machine","strength_pools/vertical_pull/accessory=cables","strength_pools","1","load-authority:cable","OK"
"Nordic Lower","yes","bodyweight","Bodyweight / no equipment","default_exercises/Isolation=bodyweight ; strength_pools/isolation_lower/accessory=bodyweight","default_exercises | strength_pools","2","load-authority:bodyweight","OK"
"Off-Season Speed Reintroduction","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/top_end_speed=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Open Book Thoracic Rotation","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Outdoor Walk","yes","bodyweight","Bodyweight / no equipment","pool_registry/easy_cardio=bodyweight","pool_registry","1","bodyweight","OK"
"Overhead Carry","yes","dumbbells","Dumbbells","strength_pools/carry/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Overhead Press","yes","barbell","Barbell & rack","default_exercises/Compound=barbell ; strength_pools/vertical_push/anchor=barbell","default_exercises | strength_pools","2","Barbell | load-authority:barbell","OK"
"Overhead Tricep Extension","yes","cables","Cable machine","pool_registry/triceps=cables ; strength_pools/isolation_upper/accessory=cables","pool_registry | strength_pools","2","cables | load-authority:cable","OK"
"Pigeon Stretch","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Pissing Dog Against Wall","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Plank","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Pogo Hops","yes","bodyweight","Bodyweight / no equipment","power_pool/lower=bodyweight","power_pool","1","empty = bodyweight (power-pool contract)","OK"
"Progressive Sprint Exposure","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/top_end_speed=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Pull-Ups","yes","bodyweight","Bodyweight / no equipment","default_exercises/Compound=bodyweight ; strength_pools/vertical_pull/anchor=bodyweight","default_exercises | strength_pools","2","load-authority:bodyweight","OK"
"Push-ups","yes","bodyweight","Bodyweight / no equipment","strength_pools/horizontal_push/accessory=bodyweight","strength_pools","1","load-authority:bodyweight","OK"
"QL Back Extension","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Quality Sprints","yes","none","None shown","conditioning_meta/A/run=none","conditioning_meta","1","semantic-modality:run","OK"
"RDLs","yes","barbell","Barbell & rack","default_exercises/Compound=barbell ; strength_pools/hinge/anchor=barbell","default_exercises | strength_pools","2","Barbell | load-authority:barbell","OK"
"Rear Delt Fly","yes","dumbbells","Dumbbells","pool_registry/delts=dumbbells ; strength_pools/horizontal_pull/accessory=dumbbells","pool_registry | strength_pools","2","dumbbells | load-authority:dumbbell","OK"
"Return-to-Speed Ladder","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/acceleration=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Reverse Lunges","yes","dumbbells","Dumbbells","strength_pools/squat/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Row Intervals","yes","modality:row","Row erg","conditioning_meta/B-low/row=modality:row","conditioning_meta","1","semantic-modality:row","OK"
"Scap Pull Ups","yes","pullup_bar","Pull-up bar","pool_registry/shoulder_health=pullup_bar","pool_registry","1","pullup_bar","OK"
"Scap Push-Up","yes","bodyweight","Bodyweight / no equipment","pool_registry/shoulder_health=bodyweight","pool_registry","1","bodyweight","OK"
"Seated Cable Row","yes","cables","Cable machine","strength_pools/horizontal_pull/accessory=cables","strength_pools","1","load-authority:cable","OK"
"Seated Calf Raise","yes","machine","Weight machines","pool_registry/calves=machine","pool_registry","1","machine","OK"
"Seated DB Press","yes","bench | dumbbells","Bench | Dumbbells","pool_registry/delts=bench+dumbbells ; strength_pools/vertical_push/accessory=dumbbells","pool_registry | strength_pools","2","bench | dumbbells | load-authority:dumbbell","MULTIPLE_SOURCE_ASSIGNMENTS"
"Short Flush","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/C/mixed=none ; conditioning_template/flush=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run/Bike continuous. Ski/Row: one continuous 8–10 min block is the cap-compliant option (rule 3); Air Bike allowed (ruling 5). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Shrugs","yes","dumbbells","Dumbbells","pool_registry/delts=dumbbells ; strength_pools/isolation_upper/anchor=dumbbells","pool_registry | strength_pools","2","dumbbells | load-authority:dumbbell","OK"
"Side Plank","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Side Plank Row","yes","bands","Resistance bands","pool_registry/trunk_anti_rotation=bands","pool_registry","1","bands","OK"
"Single-Arm DB Bench Press","yes","dumbbells","Dumbbells","strength_pools/horizontal_push/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Single-Arm DB Floor Press","yes","dumbbells","Dumbbells","strength_pools/horizontal_push/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Single-Arm DB Row","yes","dumbbells","Dumbbells","default_exercises/Compound=dumbbells ; strength_pools/horizontal_pull/anchor=dumbbells","default_exercises | strength_pools","2","Dumbbells | load-authority:dumbbell","OK"
"Single-Arm Lat Pulldown","yes","cables","Cable machine","strength_pools/vertical_pull/accessory=cables","strength_pools","1","load-authority:cable","OK"
"Single-Arm Pulldown","yes","cables","Cable machine","strength_pools/vertical_pull/accessory=cables","strength_pools","1","load-authority:cable","OK"
"Single-Arm Shrug","yes","dumbbells","Dumbbells","pool_registry/delts=dumbbells ; strength_pools/isolation_upper/accessory=dumbbells","pool_registry | strength_pools","2","dumbbells | load-authority:dumbbell","OK"
"Single-Leg Calf Raise","yes","bodyweight","Bodyweight / no equipment","pool_registry/calves=bodyweight","pool_registry","1","bodyweight","OK"
"Single-Leg Hip Thrust","yes","dumbbells","Dumbbells","strength_pools/isolation_lower/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Single-Leg Leg Press","yes","machine","Weight machines","strength_pools/squat/accessory=machine","strength_pools","1","load-authority:machine","OK"
"Single-Leg RDL","yes","dumbbells","Dumbbells","strength_pools/hinge/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Single-Leg Squat (to Box)","yes","dumbbells","Dumbbells","strength_pools/squat/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"SkiErg Intervals","yes","modality:ski","Ski erg","conditioning_meta/B-low/ski=modality:ski","conditioning_meta","1","semantic-modality:ski","OK"
"Skull Crushers","yes","dumbbells","Dumbbells","strength_pools/isolation_upper/anchor=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Slant Board Step-Down","yes","bodyweight","Bodyweight / no equipment","pool_registry/lower_prehab=bodyweight","pool_registry","1","bodyweight","OK"
"Spanish Squat Hold","yes","bands","Resistance bands","pool_registry/lower_prehab=bands","pool_registry","1","bands","OK"
"Sprint Intervals","yes","bodyweight","Bodyweight / no equipment","conditioning_meta/A/run=none ; default_exercises/Cardio=bodyweight","conditioning_meta | default_exercises","2","load-authority:bodyweight | semantic-modality:run","MULTIPLE_SOURCE_ASSIGNMENTS"
"Sprint Sets (3×5×6 s)","yes","modality:air_bike","Air bike / assault bike","conditioning_meta/A/mixed=none ; conditioning_template/repeat_sprint=modality:air_bike","conditioning_meta | conditioning_template","2","modalityNotes:Run or Air Bike — Sam's rule: short sprint work stays on running or the Air Bike. Ski/Row excluded (flywheel spin-up). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Steady 5 min Blocks","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities (5 min is inside the erg cap and the preferred 6 min). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Steady Blocks (3×8 min or 4×6 min)","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities. 8 min is the HARD cap on Ski/Row/Air Bike with no margin — prefer the 4×6 min rendering there (rule 3). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Step Ups","yes","dumbbells","Dumbbells","strength_pools/squat/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Stir the Pot","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Suitcase Carry","yes","dumbbells","Dumbbells","pool_registry/trunk_anti_rotation=dumbbells ; strength_pools/carry/accessory=dumbbells","pool_registry | strength_pools","2","dumbbells | load-authority:dumbbell","OK"
"Swiss Ball Hamstring Curl","yes","bodyweight","Bodyweight / no equipment","pool_registry/hamstring_light=bodyweight","pool_registry","1","bodyweight","OK"
"Tabata Finisher","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/anaerobic=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:ERG ONLY (Row / Ski / Air Bike / Bike) — not prescribed on Run. One set, 4 min max, finisher role only — never the session itself. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Tabata Intervals","yes","none","None shown","conditioning_meta/A/mixed=none","conditioning_meta","1","semantic-modality:mixed","OK"
"Team-Training Warm-Up Dose","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/acceleration=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Tempo Intervals (1min on / 1min easy)","yes","none","None shown","conditioning_meta/B-low/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Tempo Run","yes","bodyweight","Bodyweight / no equipment","conditioning_meta/B-low/run=none ; default_exercises/Cardio=bodyweight","conditioning_meta | default_exercises","2","load-authority:bodyweight | semantic-modality:run","MULTIPLE_SOURCE_ASSIGNMENTS"
"Three-Minute Intervals","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-high/mixed=none ; conditioning_template/aerobic_power=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities — 3 min is inside the 8 min erg cap (and inside the preferred 6 min). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Tib Raises","yes","bodyweight","Bodyweight / no equipment","pool_registry/lower_prehab=bodyweight ; strength_pools/isolation_lower/accessory=bodyweight","pool_registry | strength_pools","2","bodyweight | load-authority:bodyweight","OK"
"Toe Stretch","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Trap Bar Deadlift","yes","barbell","Barbell & rack","default_exercises/Compound=barbell ; strength_pools/hinge/anchor=barbell","default_exercises | strength_pools","2","Trap Bar | load-authority:barbell","OK"
"Tricep Circuit (Dirty 30)","yes","dumbbells","Dumbbells","strength_pools/isolation_upper/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Tricep Pushdown","yes","cables","Cable machine","pool_registry/triceps=cables ; strength_pools/isolation_upper/accessory=cables","pool_registry | strength_pools","2","cables | load-authority:cable","OK"
"Two-Minute Repeats","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-high/mixed=none ; conditioning_template/aerobic_power=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities — inside the erg cap. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Up-Back Shuttle","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/cod_decel=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Vertical Jump","yes","bodyweight","Bodyweight / no equipment","power_pool/lower=bodyweight","power_pool","1","empty = bodyweight (power-pool contract)","OK"
"Walking Lunges","yes","dumbbells","Dumbbells","default_exercises/Compound=dumbbells ; strength_pools/squat/accessory=dumbbells","default_exercises | strength_pools","2","Dumbbells | load-authority:dumbbell","OK"
"Weighted Dead Bug","yes","dumbbells","Dumbbells","pool_registry/trunk_anti_rotation=dumbbells","pool_registry","1","dumbbells","OK"
"Woodchop (Half Kneeling)","yes","bands | cables","Resistance bands | Cable machine","pool_registry/trunk_anti_rotation=bands+cables","pool_registry","1","bands | cables","OK"
"Woodchop (Standing)","yes","bands | cables","Resistance bands | Cable machine","pool_registry/trunk_anti_rotation=bands+cables","pool_registry","1","bands | cables","OK"
"World's Greatest Stretch","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Z-Press","yes","barbell","Barbell & rack","strength_pools/vertical_push/accessory=barbell","strength_pools","1","load-authority:barbell","OK"
